NPI,YM_Date,sales,Units,Digital RX impressions,AMOUNT_SPENT_USD,REACH,LINK_CLICKS,IMPRESSIONS,HCP Interactioncs (Imperssion),VUMEDI Data,Call Activity,EMAIL_OPEN_COUNT,EMAIL_CLICK_COUNT
1003067455,01-05-2023,2,30,0,0,0,0,0,0,0,1,0,0
1003807645,01-05-2023,2,30,0,0,0,0,0,0,0,0,0,0
1003820648,01-05-2023,3,15,0,0,0,0,0,0,0,0,0,0
1003820648,01-05-2023,3,30,0,0,0,0,0,0,0,0,0,0
1003839820,01-05-2023,1,30,0,0,0,0,0,0,0,2,0,0
1003869108,01-05-2023,1,30,0,0,0,0,0,0,0,1,0,0
1003882432,01-05-2023,1,30,0,0,0,0,0,0,0,0,0,0
1013005685,01-05-2023,1,30,0,0,0,0,0,0,0,0,0,0
1013007699,01-05-2023,2,30,0,0,0,0,0,0,0,1,0,0
1013019918,01-05-2023,1,30,0,0,0,0,0,0,0,0,0,0
1013178466,01-05-2023,2,30,0,0,0,0,0,0,0,0,0,0
1013180108,01-05-2023,1,90,0,0,0,0,0,0,0,0,0,0
1013250604,01-05-2023,1,30,0,0,0,0,0,0,0,1,0,0
1013947126,01-05-2023,1,30,0,0,0,0,0,0,0,0,0,0
1013976299,01-05-2023,2,90,0,0,0,0,0,0,0,1,0,0
1013980903,01-05-2023,1,30,0,0,0,0,0,0,0,0,0,0
1013985381,01-05-2023,1.333333333,120,0,0,0,0,0,0,0,1,0,0
1013988047,01-05-2023,3,30,0,0,0,0,0,0,0,0,0,0
1013995646,01-05-2023,2,30,0,19,"2,758",22,"3,065",0,0,0,0,0
1013995646,01-05-2023,2,30,0,0,0,0,0,0,0,0,0,0
1023036704,01-05-2023,2.333333333,30,0,19,"2,758",22,"3,065",0,0,1,0,0
1023036704,01-05-2023,2.333333333,120,0,0,0,0,0,0,0,1,0,0
1023096823,01-05-2023,1,90,0,0,0,0,0,0,0,0,0,0
1023098480,01-05-2023,1,30,0,0,0,0,0,0,0,0,0,0
1023212784,01-05-2023,2,30,0,0,0,0,0,0,0,0,0,0
1023238862,01-05-2023,1,30,0,0,0,0,0,0,0,0,0,0
1023243748,01-05-2023,1,30,0,0,0,0,0,0,0,0,0,0
1023301074,01-05-2023,1,30,0,0,0,0,0,0,0,0,0,0
1023302742,01-05-2023,1,30,0,0,0,0,0,0,0,0,0,0
1023504073,01-05-2023,1,30,0,0,0,0,0,0,0,1,0,0
1023682903,01-05-2023,1,30,0,0,0,0,0,0,0,0,0,0
1033156708,01-05-2023,1,30,0,0,0,0,0,0,0,0,0,0
1033176581,01-05-2023,1,30,0,0,0,0,0,0,0,0,0,0
1033184239,01-05-2023,1,30,0,0,0,0,0,0,0,1,0,0
1033189246,01-05-2023,1,90,0,0,0,0,0,0,0,0,0,0
1033193180,01-05-2023,2,30,0,19,"2,758",22,"3,065",0,0,0,0,0
1033193180,01-05-2023,2,30,0,0,0,0,0,0,0,0,0,0
1033273040,01-05-2023,3,30,0,19,"2,758",22,"3,065",0,0,0,0,0
1033273040,01-05-2023,3,30,0,0,0,0,0,0,0,0,0,0
1033351465,01-05-2023,2,30,0,0,0,0,0,0,0,0,0,0
1033518782,01-05-2023,2,30,0,0,0,0,0,0,0,0,0,0
1033624903,01-05-2023,0.933333333,28,0,0,0,0,0,0,0,0,0,0
1043205313,01-05-2023,2,30,0,0,0,0,0,0,0,1,0,0
1043228836,01-05-2023,1,30,0,0,0,0,0,0,0,0,0,0
1043287378,01-05-2023,2,30,0,0,0,0,0,0,0,1,0,0
1043297971,01-05-2023,3,30,0,0,0,0,0,0,0,0,0,0
1043428089,01-05-2023,2,30,0,0,0,0,0,0,0,0,0,0
1043439102,01-05-2023,2,30,0,0,0,0,0,0,0,1,0,0
1043474042,01-05-2023,1,30,0,0,0,0,0,0,0,0,0,0
1043477441,01-05-2023,0.666666667,60,0,0,0,0,0,0,0,1,0,0
1043484439,01-05-2023,3,30,0,0,0,0,0,0,0,0,0,0
1043491293,01-05-2023,1,30,0,0,0,0,0,0,0,1,0,0
1043508757,01-05-2023,1,30,0,0,0,0,0,0,0,1,0,0
1043528045,01-05-2023,0.933333333,28,0,0,0,0,0,0,0,1,0,0
1043605975,01-05-2023,2,30,0,0,0,0,0,0,0,1,0,0
1043658057,01-05-2023,1,30,0,0,0,0,0,0,0,1,0,0
